"subj" "item" "condition" "rt" "rcpos"
"5750" "13.dat" 15 "c" 364 "5"
"5822" "13.dat" 21 "a" 364 "1"
"5823" "13.dat" 21 "a" 544 "2"
"5824" "13.dat" 21 "a" 364 "3"
"5825" "13.dat" 21 "a" 319 "4"
"5826" "13.dat" 21 "a" 499 "5"
"5873" "13.dat" 11 "c" 364 "1"
"5874" "13.dat" 11 "c" 347 "2"
"5875" "13.dat" 11 "c" 364 "3"
"58763" "13.dat" 11 "c" 319 "4"
"58771" "13.dat" 11 "c" 364 "5"
"59311" "13.dat" 9 "a" 319 "1"
"59326" "13.dat" 9 "a" 481 "2"
"59331" "13.dat" 9 "a" 319 "3"
"59341" "13.dat" 9 "a" 391 "4"
"59351" "13.dat" 9 "a" 409 "5"
"6013" "13.dat" 18 "b" 590 "1"
"6014" "13.dat" 18 "b" 544 "2"
"6015" "13.dat" 18 "b" 364 "3"
"6016" "13.dat" 18 "b" 319 "4"
"6017" "13.dat" 18 "b" 319 "5"
"6063" "13.dat" 19 "c" 301 "1"
"6064" "13.dat" 19 "c" 635 "2"
"6065" "13.dat" 19 "c" 319 "3"
"6066" "13.dat" 19 "c" 364 "4"
"6067" "13.dat" 19 "c" 364 "5"
"609610" "13.dat" 5 "a" 409 "1"
"60978" "13.dat" 5 "a" 726 "2"
"60981" "13.dat" 5 "a" 319 "3"
"60991" "13.dat" 5 "a" 409 "4"
"61004" "13.dat" 5 "a" 862 "5"
"6121" "13.dat" 23 "c" 409 "1"
"6122" "13.dat" 23 "c" 301 "2"
"6123" "13.dat" 23 "c" 726 "3"
"6124" "13.dat" 23 "c" 364 "4"
"6125" "13.dat" 23 "c" 364 "5"
"6167" "13.dat" 17 "a" 499 "1"
"6168" "13.dat" 17 "a" 319 "2"
"6169" "13.dat" 17 "a" 319 "3"
"6170" "13.dat" 17 "a" 364 "4"
"6171" "13.dat" 17 "a" 319 "5"
"6231" "13.dat" 20 "d" 364 "1"
"6232" "13.dat" 20 "d" 364 "2"
"6233" "13.dat" 20 "d" 409 "3"
"6234" "13.dat" 20 "d" 319 "4"
"6235" "13.dat" 20 "d" 409 "5"
"6335" "14.dat" 7 "d" 545 "1"
